implementation,version,name,cold_ns,warm_ns,parse_ns,compile_ns,memory,exit_status
ajv,v8.20.0,tmuxinator,1786042,183250,991000,19605625,78596,0
ajv,v8.20.0,tmuxinator-invalid,1304750,33125,1259375,19244541,78040,0
ajv,v8.20.0,ui5,26817959,296500,1652583,147330459,211772,0
ajv,v8.20.0,ui5-invalid,28392417,446875,2522750,145909083,217760,0
ajv,v8.20.0,unreal-engine-uproject-rmUniqueItems,2467542,373208,1101917,23179000,76252,0
ajv,v8.20.0,unreal-engine-uproject-rmUniqueItems-invalid,1933917,130000,1686708,22546542,79620,0
ajv,v8.20.0,vercel,7482583,926875,893334,42665041,94516,0
ajv,v8.20.0,vercel-invalid,6684500,276541,1436291,45206334,96140,0
ajv,v8.20.0,yamllint,357333,7708,1398958,16238042,72968,0
ajv,v8.20.0,yamllint-invalid,712166,14709,1780750,14108459,73260,0
ajv,v8.20.0,zschema-advanced-rmUniqueItems-invalid,14331167,2812250,51457167,19955500,132920,0
ajv,v8.20.0,zschema-advanced-rmUniqueItems-valid,22086958,6196209,17035791,19804250,94268,0
ajv,v8.20.0,zschema-basic-rmUniqueItems-invalid,650625,96959,4435541,15772083,77452,0
ajv,v8.20.0,zschema-basic-rmUniqueItems-valid,918833,275334,3877042,15709500,75756,0
ajv-bun,v8.20.0,ajv-cosmicrealms-rmUniqueItems-invalid,13164667,2894959,36814584,18579542,198376,0
ajv-bun,v8.20.0,ajv-cosmicrealms-rmUniqueItems-valid,24352541,13245333,28728958,19126917,175244,0
ajv-bun,v8.20.0,ansible-meta,6889125,195000,517750,34037542,237948,0
ajv-bun,v8.20.0,ansible-meta-invalid,4895666,255500,689750,34498792,137336,0
ajv-bun,v8.20.0,aws-cdk,636833,47833,968250,12431125,83192,0
ajv-bun,v8.20.0,aws-cdk-invalid,610500,50959,590292,12319667,91128,0
ajv-bun,v8.20.0,babelrc,2278875,115333,518250,15586500,99680,0
ajv-bun,v8.20.0,babelrc-invalid,2547583,77625,892334,16388209,113144,0
ajv-bun,v8.20.0,clang-format,4547250,244458,210208,28726958,143672,0
ajv-bun,v8.20.0,clang-format-invalid,2803750,68959,326584,28764583,118728,0
ajv-bun,v8.20.0,cmake-presets,25582417,5743708,5289417,56207542,252800,0
ajv-bun,v8.20.0,cmake-presets-invalid,19706584,5257083,6299791,55482917,307356,0
ajv-bun,v8.20.0,code-climate,1969333,125959,2889458,15835875,124080,0
ajv-bun,v8.20.0,code-climate-invalid,3597125,269083,3121084,16601125,141792,0
ajv-bun,v8.20.0,cypress,4833083,438500,1305042,22085458,140864,0
ajv-bun,v8.20.0,cypress-invalid,4143542,179375,926959,22774041,138904,0
ajv-bun,v8.20.0,deno-rmUniqueItems,3726708,332625,2607084,17967042,118788,0
ajv-bun,v8.20.0,deno-rmUniqueItems-invalid,3704542,203583,1980625,17793958,125052,0
ajv-bun,v8.20.0,dependabot,1940625,210459,923209,14789875,105160,0
ajv-bun,v8.20.0,dependabot-invalid,1838000,115708,1213917,14555083,123736,0
ajv-bun,v8.20.0,draft-04-rmUniqueItems,18010500,4472875,13422375,16489750,174624,0
ajv-bun,v8.20.0,draft-04-rmUniqueItems-invalid,6903833,1710916,12689125,16943167,176600,0
ajv-bun,v8.20.0,example-address-invalid,3707625,1863292,6561292,17590500,122764,0
ajv-bun,v8.20.0,example-address-valid,3008250,1055083,8306708,17608292,124708,0
ajv-bun,v8.20.0,example-blogpost-invalid,6344542,1840250,21718875,18269833,149860,0
ajv-bun,v8.20.0,example-blogpost-valid,8557917,4906625,13301292,17964166,137352,0
ajv-bun,v8.20.0,example-calendar-invalid,5762750,1399167,33987500,18557250,162528,0
ajv-bun,v8.20.0,example-calendar-valid,4669542,2004750,16832458,18119291,138736,0
ajv-bun,v8.20.0,example-devicetype-invalid,4333500,607125,14377625,18305667,143860,0
ajv-bun,v8.20.0,example-devicetype-valid,4331083,808208,3929459,18441792,119904,0
ajv-bun,v8.20.0,example-health-record-invalid,11069292,3049833,34304875,18477084,167972,0
ajv-bun,v8.20.0,example-health-record-valid,8520667,3535250,22908000,23529292,153508,0
ajv-bun,v8.20.0,example-job-posting-invalid,4061875,1080000,17465375,18006292,140704,0
ajv-bun,v8.20.0,example-job-posting-valid,4166708,1750209,8880458,18036000,129028,0
ajv-bun,v8.20.0,example-movie-invalid,4645625,1373791,21841667,22942000,145988,0
ajv-bun,v8.20.0,example-movie-valid,4375583,1800834,8416375,17628833,128876,0
ajv-bun,v8.20.0,example-userprofile-invalid,4036625,1415250,17854667,17737500,142136,0
ajv-bun,v8.20.0,example-userprofile-valid,4273708,1679334,7513458,17630500,126372,0
ajv-bun,v8.20.0,fabric-mod,5408333,673417,1801375,20243625,150064,0
ajv-bun,v8.20.0,fabric-mod-invalid,4788875,416458,2545625,20062000,149276,0
ajv-bun,v8.20.0,geojson,50506833,8308458,59431500,36513250,635364,0
ajv-bun,v8.20.0,geojson-invalid,37634000,4974125,59650541,37126750,645364,0
ajv-bun,v8.20.0,gitpod-configuration,4428916,220500,932750,19459875,119064,0
ajv-bun,v8.20.0,gitpod-configuration-invalid,4377750,169041,1833708,18872250,126300,0
ajv-bun,v8.20.0,importmap,940958,360000,1692375,12275292,98696,0
ajv-bun,v8.20.0,importmap-invalid,1021292,148792,2448584,12472000,111536,0
ajv-bun,v8.20.0,jasmine,1101375,97916,412500,13534167,94560,0
ajv-bun,v8.20.0,jasmine-invalid,1089083,51250,782708,13818709,107088,0
ajv-bun,v8.20.0,jsck-complex-invalid,6377417,2271208,4977917,20956459,132524,0
ajv-bun,v8.20.0,jsck-complex-valid,13596500,7418042,5570834,21714875,132940,0
ajv-bun,v8.20.0,jsck-medium-invalid,15793250,10967375,16866875,18622292,146548,0
ajv-bun,v8.20.0,jsck-medium-valid,44744833,39350541,11837250,18498750,127100,0
ajv-bun,v8.20.0,jsconfig-rmUniqueItems,7307875,930083,884250,25489334,150136,0
ajv-bun,v8.20.0,jsconfig-rmUniqueItems-invalid,6504041,548250,1493792,26828292,146304,0
ajv-bun,v8.20.0,jshintrc,3066791,729417,1721125,16176292,112212,0
ajv-bun,v8.20.0,jshintrc-invalid,2740625,414917,2078792,16020917,121108,0
ajv-bun,v8.20.0,katydid-conf-invalid,4439041,749792,12047209,18798875,129480,0
ajv-bun,v8.20.0,katydid-conf-valid,4709167,979583,14057583,18856291,131968,0
ajv-bun,v8.20.0,lazygit-rmUniqueItems,12340375,392791,360042,36860750,205048,0
ajv-bun,v8.20.0,lazygit-rmUniqueItems-invalid,8191125,148833,682292,37063167,197584,0
ajv-bun,v8.20.0,lerna,1315000,130375,793250,13787125,97116,0
ajv-bun,v8.20.0,lerna-invalid,1258000,111375,1043750,13664625,114012,0
ajv-bun,v8.20.0,nest-cli,2367250,183541,928708,19240625,123744,0
ajv-bun,v8.20.0,nest-cli-invalid,2373917,123167,1287125,18970208,125984,0
ajv-bun,v8.20.0,omnisharp,3138417,320084,1104667,18349625,130044,0
ajv-bun,v8.20.0,omnisharp-invalid,3134125,216542,1337584,18042250,120632,0
ajv-bun,v8.20.0,pre-commit-hooks,3833834,1080416,1327708,17146042,119300,0
ajv-bun,v8.20.0,pre-commit-hooks-invalid,2557750,414375,2130792,17148166,124920,0
ajv-bun,v8.20.0,pulumi,4424958,625042,3560166,17329167,148596,0
ajv-bun,v8.20.0,pulumi-invalid,3681584,373917,4134709,16978125,142280,0
ajv-bun,v8.20.0,semantic-release,1543542,1437792,1059459,14437875,116672,0
ajv-bun,v8.20.0,semantic-release-invalid,1569667,116917,1546334,14433416,118796,0
ajv-bun,v8.20.0,stale,1805958,98250,831625,14673084,98168,0
ajv-bun,v8.20.0,stale-invalid,1673500,58167,1302833,14340834,110408,0
ajv-bun,v8.20.0,stylecop-rmUniqueItems,2532541,270458,979416,15943625,107640,0
ajv-bun,v8.20.0,stylecop-rmUniqueItems-invalid,2585333,178208,1556333,15980792,119360,0
ajv-bun,v8.20.0,tmuxinator,1628000,95833,757583,14928625,114432,0
ajv-bun,v8.20.0,tmuxinator-invalid,1255125,65334,890292,14990500,97616,0
ajv-bun,v8.20.0,ui5,49204709,905208,1060500,105556417,229940,0
ajv-bun,v8.20.0,ui5-invalid,47738917,959042,1369709,107125792,227952,0
ajv-bun,v8.20.0,unreal-engine-uproject-rmUniqueItems,2040875,168958,807709,16924834,114760,0
ajv-bun,v8.20.0,unreal-engine-uproject-rmUniqueItems-invalid,1795917,134875,1148500,16854000,118912,0
ajv-bun,v8.20.0,vercel,13128375,445000,731667,31356292,203432,0
ajv-bun,v8.20.0,vercel-invalid,12039000,432000,1094500,31406083,200024,0
ajv-bun,v8.20.0,yamllint,404334,64708,1040750,12286250,91516,0
ajv-bun,v8.20.0,yamllint-invalid,470500,33416,1103958,12489417,100808,0
ajv-bun,v8.20.0,zschema-advanced-rmUniqueItems-invalid,10199792,3292584,23145541,15812666,175416,0
ajv-bun,v8.20.0,zschema-advanced-rmUniqueItems-valid,14322792,5621959,12263750,15486625,143824,0
ajv-bun,v8.20.0,zschema-basic-rmUniqueItems-invalid,763250,127166,2565167,12866916,86904,0
ajv-bun,v8.20.0,zschema-basic-rmUniqueItems-valid,789917,152500,2579583,13099125,80976,0
blaze,bcc61aee,ajv-cosmicrealms-rmUniqueItems-invalid,4176458,3644333,37544375,807375,53136,0
blaze,bcc61aee,ajv-cosmicrealms-rmUniqueItems-valid,9921208,9211709,30632125,520417,43040,0
blaze,bcc61aee,ansible-meta,147834,100125,905417,14505625,9772,0
blaze,bcc61aee,ansible-meta-invalid,82250,38584,1150875,14468167,10092,0
blaze,bcc61aee,aws-cdk,44208,23084,2068167,323125,8500,0
blaze,bcc61aee,aws-cdk-invalid,26708,7750,1041625,340542,6376,0
blaze,bcc61aee,babelrc,69625,47458,1049542,1412834,6372,0
blaze,bcc61aee,babelrc-invalid,65292,29833,2020084,1498334,6632,0
blaze,bcc61aee,clang-format,95166,63792,383667,9678958,7724,0
blaze,bcc61aee,clang-format-invalid,51208,20750,446000,9640500,7916,0
blaze,bcc61aee,cmake-presets,2435750,1780334,13952333,13456250,27952,0
blaze,bcc61aee,cmake-presets-invalid,1451958,896000,13598541,13424042,27752,0
blaze,bcc61aee,code-climate,253459,73333,5802334,1473125,11492,0
blaze,bcc61aee,code-climate-invalid,349083,98458,6644292,1420167,12976,0
blaze,bcc61aee,cypress,134042,85958,3319583,2176500,9020,0
blaze,bcc61aee,cypress-invalid,87500,34000,1545292,2474709,7412,0
blaze,bcc61aee,deno-rmUniqueItems,260166,99541,4203458,3894583,12360,0
blaze,bcc61aee,deno-rmUniqueItems-invalid,175209,54750,2447792,3922500,9640,0
blaze,bcc61aee,dependabot,221625,153291,2336167,2095000,8544,0
blaze,bcc61aee,dependabot-invalid,122708,63500,3149250,2082833,8904,0
blaze,bcc61aee,draft-04-rmUniqueItems,3207542,2773000,30134750,1367583,52216,0
