implementation,version,name,cold_ns,warm_ns,parse_ns,compile_ns,memory,exit_status
ajv,v8.20.0,ajv-cosmicrealms-rmUniqueItems-invalid,18620125,9220375,78179625,31403833,155248,0
ajv,v8.20.0,ajv-cosmicrealms-rmUniqueItems-valid,23906875,17348417,58045250,33596083,150864,0
ajv,v8.20.0,ansible-meta,6725042,255166,620083,50603958,125308,0
ajv,v8.20.0,ansible-meta-invalid,5903000,85334,780125,48837750,106808,0
ajv,v8.20.0,aws-cdk,1071833,33750,1481500,16845958,75340,0
ajv,v8.20.0,aws-cdk-invalid,583292,26625,863375,17369500,74868,0
ajv,v8.20.0,babelrc,2038959,134292,776125,24169959,80552,0
ajv,v8.20.0,babelrc-invalid,1905125,126125,1293208,23462958,87664,0
ajv,v8.20.0,clang-format,5733791,862083,393209,42898542,135528,0
ajv,v8.20.0,clang-format-invalid,4852917,147375,416000,42215584,89888,0
ajv,v8.20.0,cmake-presets,40990708,9953875,9541500,77468875,179256,0
ajv,v8.20.0,cmake-presets-invalid,31072208,7826666,10102750,80450792,191636,0
ajv,v8.20.0,code-climate,2261417,181208,6061250,22349292,84920,0
ajv,v8.20.0,code-climate-invalid,3900458,269417,5869166,21622584,86192,0
ajv,v8.20.0,cypress,6044042,2869583,2269875,35282625,103572,0
ajv,v8.20.0,cypress-invalid,4489833,814541,1636125,34080125,100584,0
ajv,v8.20.0,deno-rmUniqueItems,3621958,926292,4118333,26665917,96408,0
ajv,v8.20.0,deno-rmUniqueItems-invalid,2902875,390916,3028875,28198208,99616,0
ajv,v8.20.0,dependabot,2545000,337375,1950750,20949875,76324,0
ajv,v8.20.0,dependabot-invalid,1883375,175666,2456125,22352875,85516,0
ajv,v8.20.0,draft-04-rmUniqueItems,36612917,11965542,32879500,35551292,169792,0
ajv,v8.20.0,draft-04-rmUniqueItems-invalid,12228167,3945792,22480125,24172083,149852,0
ajv,v8.20.0,example-address-invalid,7290542,4621542,12676125,27514542,128612,0
ajv,v8.20.0,example-address-valid,5941291,4270750,17072542,27551125,119008,0
ajv,v8.20.0,example-blogpost-invalid,10483000,3260125,51438375,28301042,131752,0
ajv,v8.20.0,example-blogpost-valid,16740667,8804333,28004209,28734083,127672,0
ajv,v8.20.0,example-calendar-invalid,6491875,4297000,92199417,31535917,155688,0
ajv,v8.20.0,example-calendar-valid,10404542,7368375,37139208,26922834,144124,0
ajv,v8.20.0,example-devicetype-invalid,5831541,1079375,40217625,29324750,100064,0
ajv,v8.20.0,example-devicetype-valid,5417208,2282625,6838875,29500792,91412,0
ajv,v8.20.0,example-health-record-invalid,9726167,4418083,80152875,31374375,147800,0
ajv,v8.20.0,example-health-record-valid,13937083,8967750,40111209,29091209,166268,0
ajv,v8.20.0,example-job-posting-invalid,5325208,3144125,44572584,27307542,107304,0
ajv,v8.20.0,example-job-posting-valid,15060250,5014875,16544834,27667667,107868,0
ajv,v8.20.0,example-movie-invalid,6147583,2794958,53659083,28154209,109768,0
ajv,v8.20.0,example-movie-valid,10800001,4634084,13417708,30299125,103780,0
ajv,v8.20.0,example-userprofile-invalid,6394084,2659125,47549750,28267209,108048,0
ajv,v8.20.0,example-userprofile-valid,8692416,5237459,13965459,27365792,109928,0
ajv,v8.20.0,fabric-mod,6563334,1229167,3410250,30415166,104520,0
ajv,v8.20.0,fabric-mod-invalid,5434375,1176584,3748584,32737708,96632,0
ajv,v8.20.0,geojson,135974667,8978417,107493334,63099625,234784,0
ajv,v8.20.0,geojson-invalid,78817583,7321708,107396750,61817875,242048,0
ajv,v8.20.0,gitpod-configuration,3541958,346083,1256750,28138667,87352,0
ajv,v8.20.0,gitpod-configuration-invalid,3092375,150334,2051833,31567584,90596,0
ajv,v8.20.0,importmap,982458,88166,3145625,16801958,76636,0
ajv,v8.20.0,importmap-invalid,1536084,113833,3953792,18686042,77432,0
ajv,v8.20.0,jasmine,1189792,77542,683667,19076208,73028,0
ajv,v8.20.0,jasmine-invalid,1075000,51083,1241083,19360375,75444,0
ajv,v8.20.0,jsck-complex-invalid,11352875,4395500,8681875,32679959,93716,0
ajv,v8.20.0,jsck-complex-valid,21919334,12717417,10749458,33112542,97340,0
ajv,v8.20.0,jsck-medium-invalid,8285916,1389375,36547958,30222542,117392,0
ajv,v8.20.0,jsck-medium-valid,8926959,2876584,21813542,29424875,91708,0
ajv,v8.20.0,jsconfig-rmUniqueItems,9614584,4190792,1521000,37250708,107140,0
ajv,v8.20.0,jsconfig-rmUniqueItems-invalid,6940042,2055542,2598167,36889000,121504,0
ajv,v8.20.0,jshintrc,6157958,4154334,4243125,25207459,103488,0
ajv,v8.20.0,jshintrc-invalid,4032167,2142917,4923958,22624958,106824,0
ajv,v8.20.0,katydid-conf-invalid,11819959,1366875,21222333,29960250,95124,0
ajv,v8.20.0,katydid-conf-valid,11131959,1907292,25515000,29071083,93764,0
ajv,v8.20.0,lazygit-rmUniqueItems,7778167,654041,751167,52390917,101040,0
ajv,v8.20.0,lazygit-rmUniqueItems-invalid,6858375,255833,1087292,52851791,85908,0
ajv,v8.20.0,lerna,1542125,286167,1281000,19740667,78116,0
ajv,v8.20.0,lerna-invalid,1118583,71375,1519708,19642042,78812,0
ajv,v8.20.0,nest-cli,3062291,320500,1700333,26995042,78600,0
ajv,v8.20.0,nest-cli-invalid,2356916,112042,2320875,28315251,78584,0
ajv,v8.20.0,omnisharp,3778959,1432459,1920583,26054416,102956,0
ajv,v8.20.0,omnisharp-invalid,3157292,802875,2302042,24887709,91748,0
ajv,v8.20.0,pre-commit-hooks,8193833,2337041,2068333,25885833,103940,0
ajv,v8.20.0,pre-commit-hooks-invalid,4256292,765917,3001625,24496584,83760,0
ajv,v8.20.0,pulumi,6358750,1419458,7133417,26201417,101988,0
ajv,v8.20.0,pulumi-invalid,5632333,532334,8512583,26721291,99744,0
ajv,v8.20.0,semantic-release,2259875,207209,1350917,21779583,76468,0
ajv,v8.20.0,semantic-release-invalid,1907083,140667,2148042,20532375,79704,0
ajv,v8.20.0,stale,1464083,110125,948250,21361834,77072,0
ajv,v8.20.0,stale-invalid,1978291,56584,1509709,24311291,78996,0
ajv,v8.20.0,stylecop-rmUniqueItems,3140209,476458,1797250,23533875,79976,0
ajv,v8.20.0,stylecop-rmUniqueItems-invalid,2203416,186500,2628459,24234458,85684,0
ajv,v8.20.0,tmuxinator,2073916,203291,1137750,21718667,76976,0
ajv,v8.20.0,tmuxinator-invalid,1382542,36458,1393958,22958167,79392,0
ajv,v8.20.0,ui5,28410875,415875,1652792,157795459,212492,0
ajv,v8.20.0,ui5-invalid,27417917,470792,2527541,156960292,218336,0
ajv,v8.20.0,unreal-engine-uproject-rmUniqueItems,2716292,354791,1104333,25453584,76700,0
ajv,v8.20.0,unreal-engine-uproject-rmUniqueItems-invalid,2150458,156000,1868375,24981542,77712,0
ajv,v8.20.0,vercel,9133667,932834,1053167,47636208,94244,0
ajv,v8.20.0,vercel-invalid,6888625,293750,1577417,48287417,96276,0
ajv,v8.20.0,yamllint,384292,7833,1502292,19402291,73008,0
ajv,v8.20.0,yamllint-invalid,969125,13458,2010500,16160583,73280,0
ajv,v8.20.0,zschema-advanced-rmUniqueItems-invalid,14203750,2804833,56996750,22503541,132104,0
ajv,v8.20.0,zschema-advanced-rmUniqueItems-valid,22537625,6529292,18382417,23038500,93304,0
ajv,v8.20.0,zschema-basic-rmUniqueItems-invalid,1007583,95833,5132292,16948375,76088,0
ajv,v8.20.0,zschema-basic-rmUniqueItems-valid,989208,285666,4284166,16481334,73960,0
ajv-bun,v8.20.0,ajv-cosmicrealms-rmUniqueItems-invalid,13116208,2959750,38996584,21708333,194244,0
ajv-bun,v8.20.0,ajv-cosmicrealms-rmUniqueItems-valid,26938458,13675250,34877083,20819708,172444,0
ajv-bun,v8.20.0,ansible-meta,7294166,190417,612250,36039292,237620,0
ajv-bun,v8.20.0,ansible-meta-invalid,5010833,258500,762500,37348917,134932,0
ajv-bun,v8.20.0,aws-cdk,672166,59250,1115250,13472708,82396,0
ajv-bun,v8.20.0,aws-cdk-invalid,647500,72708,635084,13421333,91052,0
ajv-bun,v8.20.0,babelrc,2331167,125125,604750,19073833,99500,0
ajv-bun,v8.20.0,babelrc-invalid,2464250,84583,853209,18030125,113532,0
ajv-bun,v8.20.0,clang-format,5072542,252000,235667,28596083,142560,0
ajv-bun,v8.20.0,clang-format-invalid,2937625,82083,304125,30913166,116060,0
ajv-bun,v8.20.0,cmake-presets,25475542,5824708,5837959,60871166,250384,0
ajv-bun,v8.20.0,cmake-presets-invalid,20304792,4622625,6483709,62671375,316036,0
ajv-bun,v8.20.0,code-climate,2284250,141500,3324834,20449667,123128,0
ajv-bun,v8.20.0,code-climate-invalid,2875167,415083,2990584,17532708,134556,0
ajv-bun,v8.20.0,cypress,5035000,494042,1389416,25093042,140764,0
ajv-bun,v8.20.0,cypress-invalid,4591958,188417,1104208,23941875,139360,0
ajv-bun,v8.20.0,deno-rmUniqueItems,3802333,354542,2520708,19543250,119220,0
ajv-bun,v8.20.0,deno-rmUniqueItems-invalid,3918084,237458,2347792,19927417,124720,0
ajv-bun,v8.20.0,dependabot,2045084,221833,968334,15576875,105248,0
ajv-bun,v8.20.0,dependabot-invalid,2003708,142458,1650792,16179500,123728,0
ajv-bun,v8.20.0,draft-04-rmUniqueItems,18335708,4460541,13711292,17436542,174392,0
ajv-bun,v8.20.0,draft-04-rmUniqueItems-invalid,7386000,1768000,12822792,19458041,175560,0
ajv-bun,v8.20.0,example-address-invalid,4068833,1412583,6979834,18605458,122524,0
ajv-bun,v8.20.0,example-address-valid,3314375,1057541,8594375,19181250,125208,0
ajv-bun,v8.20.0,example-blogpost-invalid,6477125,1867042,26491458,20078250,152908,0
ajv-bun,v8.20.0,example-blogpost-valid,8593416,5001958,14507167,19830083,137368,0
ajv-bun,v8.20.0,example-calendar-invalid,6040625,1405209,40089083,19481792,162496,0
ajv-bun,v8.20.0,example-calendar-valid,4985834,2063000,19035875,19922875,139812,0
ajv-bun,v8.20.0,example-devicetype-invalid,4774625,601875,16187667,20425959,143348,0
ajv-bun,v8.20.0,example-devicetype-valid,4521167,804709,4416417,20444958,122040,0
ajv-bun,v8.20.0,example-health-record-invalid,10223125,3212958,42728000,19186041,168016,0
ajv-bun,v8.20.0,example-health-record-valid,9041416,3595250,28578167,20361042,153464,0
ajv-bun,v8.20.0,example-job-posting-invalid,4752458,1630500,19806833,19483126,141256,0
ajv-bun,v8.20.0,example-job-posting-valid,4646750,1808333,9649667,18608042,128808,0
ajv-bun,v8.20.0,example-movie-invalid,4628750,1329333,22726458,20007542,145848,0
ajv-bun,v8.20.0,example-movie-valid,5223792,1858833,9513750,20601209,129392,0
ajv-bun,v8.20.0,example-userprofile-invalid,4440667,1409041,20299625,18425583,142772,0
ajv-bun,v8.20.0,example-userprofile-valid,4648500,1686875,9032709,19737541,126540,0
ajv-bun,v8.20.0,fabric-mod,5937000,682708,2038750,23552791,150300,0
ajv-bun,v8.20.0,fabric-mod-invalid,4733541,431542,2752375,22440666,153240,0
ajv-bun,v8.20.0,geojson,50744000,8153333,61050750,39790875,635368,0
ajv-bun,v8.20.0,geojson-invalid,37996416,5229708,62025708,39945666,644664,0
ajv-bun,v8.20.0,gitpod-configuration,4459375,244417,1171833,21273500,118656,0
ajv-bun,v8.20.0,gitpod-configuration-invalid,4780208,307416,1700458,20704833,132992,0
ajv-bun,v8.20.0,importmap,893792,392292,1836208,13044958,98336,0
ajv-bun,v8.20.0,importmap-invalid,1120833,159625,2689167,14197542,111872,0
ajv-bun,v8.20.0,jasmine,1192959,190041,469083,14775000,97280,0
ajv-bun,v8.20.0,jasmine-invalid,1240833,48750,867542,14420125,107584,0
ajv-bun,v8.20.0,jsck-complex-invalid,8827000,2262708,5249208,23523042,133792,0
ajv-bun,v8.20.0,jsck-complex-valid,14246500,7283750,5843792,24496583,131920,0
ajv-bun,v8.20.0,jsck-medium-invalid,17523666,10749791,18524833,30294959,145780,0
ajv-bun,v8.20.0,jsck-medium-valid,44981125,39723458,12553041,19446958,126940,0
ajv-bun,v8.20.0,jsconfig-rmUniqueItems,7557291,836667,990041,28272709,150004,0
ajv-bun,v8.20.0,jsconfig-rmUniqueItems-invalid,6324542,698625,1270625,28190459,151372,0
